#,Data,Categoria,Descrição,Status,Prioridade,Responsável,Prazo,Observação
241,30/04/26,Instrução Trabalho,Revisar procedimento de reunião conforme reunião,Concluído,B,Leo Batista,14/08,aparentemente resolvido mas não tem evidência
242,13/06/2026,Seguranca,Análise da NC #896,A fazer,B,,,vinculado à pendência anterior
243,16/05/2026,PROD,Consolidar dados de meta,TODO,A,João P.,21/08/2026,cliente reclamou disso semana passada
244,2026-05-02,SOP,Preparar apresentação sobre auditoria,Fechado,crítica,Leo Batista,04-09-2026,duplicado com outra linha?
245,24/06/2026,Qualidade,Escalar problema de processo pro gerente,TODO,urgente,Isabel R.,2026-08-17,esperando ok da diretoria
246,13/07/2026,Manutenção,Reposição de estoque de contrato,Done,ALTA,Henrique M.,30/08/2026,não faz sentido no contexto atual
247,,,,,,,,
248,15-06-2026,Corretiva,Auditoria interna de auditoria,Em andamento,,Carla Souza,11-08-2026,aparentemente resolvido mas não tem evidência
249,19/06/26,QLD,Fechamento de manutenção do mês anterior,OK,Alta,,2026-07-26,aparentemente resolvido mas não tem evidência
250,25-04-2026,Target,Comunicar mudança de qualidade pro time,Fechado,alta,,07/09/2026,cliente reclamou disso semana passada
251,08/05/26,Segurança,Padronizar registro de checklist,Aberto,Baixa,?,2026-07-09,vinculado à pendência anterior
252,2026-07-15,Qualidade,Padronizar registro de inspeção,OK,,Leo Batista,06-09-2026,movi pra próxima semana
253,01/07/26,gente,Reagendar reunião de meta,progresso,Média,Ricardo N.,02/07,TI ainda não liberou
254,09-05-2026,Segurança,Consolidar dados de documento,OK,A,a definir,23/08,risco de multa se não fechar
255,01/06/26,Target,Fechamento de processo do mês anterior,TODO,Alta,Diego Lima,14/09,revisar após mudança de escala
256,2026-05-18,qual.,Treinamento de meta pra equipe,A fazer,urgente,Marcos T.,11/07/2026,revisar após mudança de escala
257,2026-05-25,IT,Atualizar checklist de qualidade,Done,Alta,Osmar D.,24-06-2026,auditoria externa pergunta sobre isso
258,25/05/2026,Pessoas,Definir responsável pela briefing,TODO,Baixa,todos,06/09,esperando ok da diretoria
259,29/06/2026,Metas,Análise da NC #740,WIP,Baixa,Paula V.,,envolve 2 áreas — precisa alinhar
260,,,,,,,,
261,2026-05-23,Time,Follow-up com RH sobre plano de ação,progresso,Alta,time,2026-08-10,3 vezes que aparece esse mesmo problema
262,14-06-2026,Gestão de pessoas,Melhoria no fluxo de qualidade,concluido,urgente,Nubia Costa,24/06/2026,impacto direto no OEE do turno
263,2026-05-11,MTC,Ficou de trazer planilha na próxima reunião,Done,Alta,João P.,13/09/2026,urgente segundo o gerente
264,27/05/2026,Gestão de pessoas,Auditoria interna de relatório,progresso,crítica,Sabrina T.,22/08/2026,cliente reclamou disso semana passada
265,27/05/2026,Gestão de pessoas,Consolidar dados de meta,OK,M,Henrique M.,,3 vezes que aparece esse mesmo problema
266,06-07-2026,PM,Reagendar reunião de processo,Feito,Alta,Diego Lima,22/06,revisar após mudança de escala
267,22/06/2026,IT,Auditoria interna de documento,Novo,Baixa,Gabi Ferreira,20-08-2026,vinculado à pendência anterior
268,04/07/2026,Preventiva,Reposição de estoque de relatório,aberta,ALTA,Osmar D.,10-09-2026,revisar após mudança de escala
269,28-06-2026,,Definir responsável pela follow-up,Fechado,urgente,Sabrina T.,16-08-2026,revisar após mudança de escala
270,2026-05-21,,Trocar documento vencido na área,Done,alta,Sabrina T.,15/08/2026,duplicado com outra linha?
271,27/04/26,Processo,Treinamento de segurança pra equipe,Encerrado,A,Nubia Costa,19-06-2026,
272,04/06/26,MTN,Renovar contrato de equipamento,aberta,Baixa,Paula V.,19/08/2026,TI ainda não liberou
273,15/06/2026,RH,Reposição de estoque de equipamento,Fechado,ALTA,,12/07,aparentemente resolvido mas não tem evidência
274,2026-07-07,gente,,A fazer,crítica,Tiago Alves,2026-08-29,esperando ok da diretoria
275,27/06/26,Indicador,Análise da NC #120,WIP,Baixa,Osmar D.,01/07/2026,"só depende de mim, sem justificativa"
276,2026-05-23,PROD,Precisa validação técnica de EPI,TODO,Média,todos,09-07-2026,esperando resposta do RH
277,30-04-2026,seg.,Alinhamento com liderança sobre segurança,aberta,,Karen L.,2026-06-28,vinculado à pendência anterior
278,20/05/2026,Procedimento,Investigação de desvio em checklist,andamento,Alta,Osmar D.,13/09/2026,"só depende de mim, sem justificativa"
279,2026-06-24,seg.,Definir responsável pela auditoria,Fechado,Média,time,01-09-2026,urgente segundo o gerente
280,25-05-2026,Instrução Trabalho,Fechamento de reunião do mês anterior,Done,Média,Sabrina T.,28-06-2026,esperando ok da diretoria
281,2026-06-17,Controle Qualidade,Verificar histórico de briefing,TODO,B,Paula V.,15/08/2026,
282,26/06/26,SEG. TRABALHO,Verificar histórico de briefing,Fechado,alta,Osmar D.,,aparentemente resolvido mas não tem evidência
283,2026-06-18,Preventiva,Aguardando retorno de fornecedor sobre planilha,Aberto,ALTA,Gabi Ferreira,15/09,movi pra próxima semana
284,10-06-2026,Indicador,Reposição de estoque de certificado,Fechado,A,Tiago Alves,2026-08-27,revisar após mudança de escala
285,2026-05-21,PM,Treinamento de checklist pra equipe,OK,,?,07/08/2026,aparentemente resolvido mas não tem evidência
286,2026-06-21,Preventiva,Análise da NC #183,Em andamento,Média,Eduarda Santos,2026-08-14,duplicado com outra linha?
287,06/06/2026,Prod,Alinhamento com liderança sobre meta,aberta,B,,,pode ser reunião de 15min
288,06-06-2026,seg.,Comunicar mudança de planilha pro time,Encerrado,alta,Henrique M.,21/08/2026,pode ser reunião de 15min
289,02/07/2026,Segurança,Revisar procedimento de plano de ação conforme reunião,Fechado,Média,João P.,2026-07-28,esperando resposta do RH
290,06-05-2026,EPI,Pendente aprovação da diretoria sobre segurança,OK,crítica,,05/08,envolve 2 áreas — precisa alinhar
291,2026-04-28,qual.,Definir responsável pela treinamento,TODO,Média,time,31/07,esperando ok da diretoria
292,14/05/26,PM,Reunião com fornecedor de certificado,Encerrado,Média,,2026-06-25,cliente reclamou disso semana passada
293,08/05/2026,proc.,Melhoria no fluxo de qualidade,Novo,Baixa,Henrique M.,04/08,conversamos na daily de segunda
294,10/06/2026,Equipe,,Concluído,B,Paula V.,09-08-2026,cliente reclamou disso semana passada
295,19/05/2026,Produção,Aguardando retorno de fornecedor sobre documento,Encerrado,A,Nubia Costa,04/08,esperando ok da diretoria
296,21/05/26,,Treinamento de treinamento pra equipe,andamento,crítica,todos,27/07,esperando resposta do RH
297,08/07/2026,SST,Reagendar reunião de inspeção,andamento,crítica,Ana Silva,22/06,auditoria externa pergunta sobre isso
298,26-05-2026,SEG. TRABALHO,,Encerrado,A,,22-07-2026,risco de multa se não fechar
299,17-05-2026,SOP,Follow-up com coordenador sobre documento,progresso,alta,time,09/07,aparentemente resolvido mas não tem evidência
300,15/05/26,produtividade,Precisa validação técnica de relatório,Concluído,crítica,Osmar D.,03/09,cliente reclamou disso semana passada
301,18/05/26,manut.,Ver com fornecedor status de follow-up,Concluído,alta,Henrique M.,2026-07-08,não faz sentido no contexto atual
302,07-07-2026,qual.,Aguardando retorno de fornecedor sobre planilha,TODO,alta,Eduarda Santos,11-07-2026,envolve 2 áreas — precisa alinhar
303,23/04/2026,gente,Consolidar dados de qualidade,concluido,alta,Carla Souza,21/06/2026,vinculado à pendência anterior
304,26/06/26,Produtividade,Precisa validação técnica de ferramenta,Novo,Alta,Paula V.,,movi pra próxima semana
305,29-06-2026,Manutenção,Definir responsável pela comunicado,progresso,urgente,Ricardo N.,,esperando resposta do RH
306,18-05-2026,IT,Treinamento de segurança pra equipe,Concluído,Média,Eduarda Santos,12/07/2026,conversamos na daily de segunda
307,2026-06-30,PROD,Aguardando retorno de fornecedor sobre EPI,TODO,B,Ricardo N.,,
308,05/07/26,Target,,andamento,Média,Carla Souza,,conversamos na daily de segunda
309,2026-06-16,,Treinamento de planilha pra equipe,OK,,?,13/07,esperando ok da diretoria
310,2026-04-26,qual.,Análise da NC #246,OK,,Nubia Costa,03-08-2026,não faz sentido no contexto atual
311,2026-04-28,Objetivo,Renovar contrato de material,Encerrado,urgente,Carla Souza,11/09/2026,esperando ok da diretoria
312,26-06-2026,Manutenção,Preparar apresentação sobre checklist,Feito,Alta,Ricardo N.,06/07/2026,revisar após mudança de escala
313,13-07-2026,CQ,Auditoria interna de treinamento,Encerrado,alta,,,conversamos na daily de segunda
314,2026-06-16,Instrução Trabalho,Reposição de estoque de EPI,Novo,A,Nubia Costa,2026-07-13,
315,30/05/2026,CQ,Ver com gerente status de auditoria,TODO,ALTA,Osmar D.,31/07/2026,3 vezes que aparece esse mesmo problema
316,08/07/26,Metas,Alinhamento com liderança sobre treinamento,Concluído,B,Leo Batista,11/07,3 vezes que aparece esse mesmo problema
317,30-06-2026,Corretiva,Treinamento de comunicado pra equipe,Novo,ALTA,,27/07,não faz sentido no contexto atual
318,,,,,,,,
319,22/05/26,EPI,Auditoria interna de treinamento,aberta,M,Nubia Costa,10-08-2026,movi pra próxima semana
320,09/05/26,KPI,Escalar problema de planilha pro gerente,TODO,Média,Diego Lima,06/08,movi pra próxima semana
321,07-06-2026,produtividade,Alinhamento com liderança sobre treinamento,Aberto,Média,,,movi pra próxima semana
322,18/05/26,QLD,Fechamento de briefing do mês anterior,Done,urgente,a definir,2026-07-03,
323,21/06/2026,Seg,Definir responsável pela follow-up,Encerrado,urgente,Marcos T.,18/06,impacto direto no OEE do turno
324,24/05/2026,RH/Gestão,Atualizar checklist de documento,concluido,alta,Gabi Ferreira,26/08/2026,
325,05/07/2026,Manutenção,Documentar procedimento de treinamento,Done,alta,Sabrina T.,06/08,urgente segundo o gerente
326,29/06/26,Pessoas,Ajuste no cronograma semanal,OK,urgente,Ricardo N.,24/06,urgente segundo o gerente
327,16/07/26,Target,Investigação de desvio em auditoria,A fazer,B,Marcos T.,12/08,TI ainda não liberou
328,19/05/26,Procedimento,Reagendar reunião de follow-up,Fechado,Baixa,Gabi Ferreira,08-07-2026,duplicado com outra linha?
329,15/05/2026,Time,Melhoria no fluxo de briefing,Concluído,urgente,,24/06,TI ainda não liberou
330,13/07/2026,Equipe,Fechamento de plano de ação do mês anterior,aberta,M,Diego Lima,28/07/2026,3 vezes que aparece esse mesmo problema
331,04/06/2026,KPI,Preparar apresentação sobre relatório,A fazer,crítica,Diego Lima,2026-08-17,conversamos na daily de segunda
332,22-04-2026,MTN,Alinhamento com liderança sobre produção,Em andamento,A,,12/09,envolve 2 áreas — precisa alinhar
333,11/06/26,PM,Aguardando retorno de fornecedor sobre equipamento,Fechado,A,Ricardo N.,2026-07-21,movi pra próxima semana
334,29/06/26,Saúde e Seguranca,Ajuste no cronograma semanal,concluido,Média,Diego Lima,2026-09-15,impacto direto no OEE do turno
335,16/07/2026,Gestão de pessoas,Pendente aprovação da diretoria sobre segurança,Fechado,Alta,,23/07,auditoria externa pergunta sobre isso
336,21/04/26,SEG. TRABALHO,Fechamento de meta do mês anterior,Done,alta,Felipe Costa,,envolve 2 áreas — precisa alinhar
337,30/05/26,Produtividade,Precisa validação técnica de planilha,andamento,A,Marcos T.,18-06-2026,risco de multa se não fechar
338,22/04/26,Manutenção,Preparar apresentação sobre reunião,progresso,urgente,?,19-07-2026,revisar após mudança de escala
339,13/07/2026,Controle Qualidade,Ver com gerente status de processo,A fazer,A,Vanessa L.,2026-08-15,impacto direto no OEE do turno
340,2026-07-03,MTN,Fechamento de qualidade do mês anterior,Feito,urgente,Paula V.,24-06-2026,auditoria externa pergunta sobre isso
341,22/06/26,SEG. TRABALHO,Verificar histórico de produção,Done,crítica,Sabrina T.,2026-09-08,conversamos na daily de segunda
342,09/07/2026,produtividade,Consolidar dados de produção,TODO,Baixa,,13-07-2026,envolve 2 áreas — precisa alinhar
343,23-05-2026,CQ,Ver com diretoria status de apresentação,Done,ALTA,Eduarda Santos,23-08-2026,
344,01-06-2026,CQ,Ajuste no cronograma semanal,Aberto,crítica,Eduarda Santos,2026-07-15,auditoria externa pergunta sobre isso
345,2026-04-29,Controle Qualidade,Revisar procedimento de reunião conforme reunião,Aberto,ALTA,time,,pode ser reunião de 15min
346,21/06/26,Processo,Trocar crachá vencido na área,aberta,Média,,16/09,
347,23/06/26,PROD,Consolidar dados de briefing,OK,A,Gabi Ferreira,,
348,,,,,,,,
349,28/05/26,Qualidade,Comunicar mudança de treinamento pro time,Feito,,Karen L.,25-07-2026,não faz sentido no contexto atual
350,08/07/26,Corretiva,Reunião com fornecedor de crachá,aberta,Baixa,Eduarda Santos,,3 vezes que aparece esse mesmo problema
351,2026-07-09,IT,Comunicar mudança de checklist pro time,OK,ALTA,time,09/07,3 vezes que aparece esse mesmo problema
352,22/05/2026,PM,Fechamento de treinamento do mês anterior,Em andamento,M,,14/07/2026,esperando resposta do RH
353,07-06-2026,Segurança,Padronizar registro de follow-up,WIP,Alta,Paula V.,2026-09-09,vinculado à pendência anterior
354,13/05/26,Corretiva,Preparar apresentação sobre reunião,Em andamento,urgente,time,31/07/2026,impacto direto no OEE do turno
355,04-07-2026,Seg,,progresso,Média,Gabi Ferreira,07/07,esperando resposta do RH
356,14/07/2026,Preventiva,Reposição de estoque de ferramenta,Feito,,Sabrina T.,,auditoria externa pergunta sobre isso
357,18/07/2026,Instrução Trabalho,Melhoria no fluxo de auditoria,Novo,,Leo Batista,,vinculado à pendência anterior
358,07/07/2026,QA,Verificar histórico de apresentação,Done,A,João P.,30/06/2026,urgente segundo o gerente
359,24-04-2026,Qualidade,Follow-up com gerente sobre relatório,Done,,Paula V.,04-09-2026,vinculado à pendência anterior
360,2026-06-10,meta,Revisar procedimento de auditoria conforme reunião,Novo,alta,?,06-09-2026,TI ainda não liberou
361,15-07-2026,KPI,Precisa validação técnica de EPI,Concluído,Alta,Leo Batista,02/08/2026,risco de multa se não fechar
362,19/06/2026,Controle Qualidade,Análise da NC #401,WIP,M,,08/09/2026,auditoria externa pergunta sobre isso
363,2026-07-13,proc.,Fechamento de plano de ação do mês anterior,Encerrado,urgente,Felipe Costa,23-07-2026,conversamos na daily de segunda
364,04/05/26,qual.,Follow-up com gerente sobre inspeção,WIP,B,Karen L.,2026-07-22,esperando resposta do RH
365,10/06/2026,Instrução Trabalho,Aguardando retorno de fornecedor sobre relatório,Em andamento,,Bruno Alves,28-06-2026,pode ser reunião de 15min
366,09/07/26,PM,Escalar problema de qualidade pro gerente,concluido,B,Osmar D.,,movi pra próxima semana
367,05/05/26,Seguranca,Feedback pra equipe sobre produção,Novo,alta,Gabi Ferreira,2026-08-28,auditoria externa pergunta sobre isso
368,,,,,,,,
369,2026-04-21,KPI,Ver com gerente status de inspeção,A fazer,Alta,Felipe Costa,13/08/2026,revisar após mudança de escala
370,18-07-2026,Indicador,Pendente aprovação da diretoria sobre reunião,Aberto,crítica,,27-07-2026,esperando resposta do RH
371,09-07-2026,gente,Pendente aprovação da diretoria sobre inspeção,Fechado,Alta,Henrique M.,26/06,risco de multa se não fechar
372,29/05/2026,Preventiva,Aguardando retorno de fornecedor sobre insumo,TODO,Alta,Paula V.,17-07-2026,
373,07-07-2026,MTC,Análise da NC #297,Encerrado,,Ana Silva,06/07,cliente reclamou disso semana passada
374,13-06-2026,Processo,Aguardando retorno de fornecedor sobre relatório,Em andamento,B,Eduarda Santos,2026-07-26,envolve 2 áreas — precisa alinhar
375,26/05/2026,Qualidade,Pendente aprovação da diretoria sobre segurança,Fechado,crítica,Bruno Alves,21/07,impacto direto no OEE do turno
376,2026-06-26,IT,Revisar procedimento de planilha conforme reunião,A fazer,,Eduarda Santos,,
377,22/04/2026,Seguranca,Ficou de trazer processo na próxima reunião,andamento,ALTA,Leo Batista,19-06-2026,conversamos na daily de segunda
378,2026-06-21,RH,Ver com gerente status de checklist,Em andamento,urgente,Carla Souza,29-06-2026,vinculado à pendência anterior
379,22-05-2026,seg.,Trocar lista vencido na área,andamento,B,,22/07/2026,
380,30/05/26,RH/Gestão,Investigação de desvio em processo,WIP,,Sabrina T.,11/09/2026,movi pra próxima semana
381,10/07/26,PROD,Melhoria no fluxo de briefing,Concluído,Média,Felipe Costa,21/06,conversamos na daily de segunda
382,2026-04-28,Objetivo,Precisa validação técnica de EPI,Feito,alta,Osmar D.,,duplicado com outra linha?
383,2026-06-17,SST,Documentar procedimento de plano de ação,progresso,urgente,Gabi Ferreira,03-08-2026,envolve 2 áreas — precisa alinhar
384,02/07/26,,Aguardando retorno de fornecedor sobre lista,A fazer,B,,19/06,"só depende de mim, sem justificativa"
385,10-05-2026,MTN,Fechamento de meta do mês anterior,aberta,Alta,time,07-09-2026,impacto direto no OEE do turno
386,30/05/2026,qual.,Reagendar reunião de comunicado,OK,B,time,23/07,impacto direto no OEE do turno
387,14/06/2026,Gestão de pessoas,Feedback pra equipe sobre segurança,concluido,M,Leo Batista,2026-08-23,urgente segundo o gerente
388,30/06/2026,KPI,Revisar procedimento de documento conforme reunião,A fazer,alta,Ricardo N.,18-08-2026,"só depende de mim, sem justificativa"
389,17/07/26,seg.,Atualizar checklist de plano de ação,progresso,urgente,Marcos T.,2026-07-18,movi pra próxima semana
390,29/06/2026,Produtividade,Reagendar reunião de checklist,Fechado,ALTA,Tiago Alves,2026-07-27,envolve 2 áreas — precisa alinhar
391,2026-05-17,meta,Escalar problema de auditoria pro gerente,concluido,ALTA,Sabrina T.,10/09/2026,envolve 2 áreas — precisa alinhar
392,09/06/26,SST,Ficou de trazer treinamento na próxima reunião,aberta,ALTA,Vanessa L.,,urgente segundo o gerente
393,2026-04-27,Equipe,Padronizar registro de meta,progresso,Alta,a definir,30-06-2026,aparentemente resolvido mas não tem evidência
394,2026-05-15,produtividade,Ficou de trazer processo na próxima reunião,Novo,A,Carla Souza,10/08/2026,movi pra próxima semana
395,12/06/26,manut.,Follow-up com gerente sobre follow-up,concluido,alta,?,30/06,urgente segundo o gerente
396,08-05-2026,Target,Revisar procedimento de documento conforme reunião,OK,M,Diego Lima,23-08-2026,pode ser reunião de 15min
397,27/04/2026,SEG. TRABALHO,Ajuste no cronograma semanal,Done,alta,,04-08-2026,
398,16/05/26,Manutenção,Investigação de desvio em follow-up,WIP,urgente,,2026-08-30,
399,17-05-2026,Saúde e Seguranca,Feedback pra equipe sobre comunicado,Encerrado,ALTA,todos,20-08-2026,3 vezes que aparece esse mesmo problema
400,2026-05-16,QLD,Aguardando retorno de fornecedor sobre material,WIP,Baixa,Ricardo N.,11/09/2026,impacto direto no OEE do turno
401,02/06/2026,Instrução Trabalho,Atualizar checklist de processo,progresso,,João P.,19/08,
402,23/04/2026,Instrução Trabalho,Treinamento de produção pra equipe,Em andamento,Média,Tiago Alves,23-08-2026,conversamos na daily de segunda
403,21/04/26,Qualidade,Ver com fornecedor status de relatório,concluido,A,,23/06,conversamos na daily de segunda
404,30/04/2026,OEE,Definir responsável pela auditoria,Em andamento,alta,,11-07-2026,revisar após mudança de escala
405,12-06-2026,Objetivo,Atualizar checklist de qualidade,WIP,alta,Leo Batista,09/07,aparentemente resolvido mas não tem evidência
406,14/05/26,Seg,Reunião com fornecedor de documento,progresso,M,Paula V.,2026-08-16,não faz sentido no contexto atual
407,04/05/26,Saúde e Seguranca,Verificar histórico de documento,Aberto,alta,Paula V.,20/08,conversamos na daily de segunda
408,30/05/26,Pessoas,Melhoria no fluxo de apresentação,Concluído,A,Marcos T.,05/09/2026,revisar após mudança de escala
409,17-07-2026,Preventiva,Alinhamento com liderança sobre checklist,TODO,Média,Nubia Costa,13/07,revisar após mudança de escala
410,20/06/2026,PROD,Follow-up com engenharia sobre processo,concluido,Média,Ana Silva,2026-08-27,
411,2026-06-08,KPI,Treinamento de inspeção pra equipe,concluido,,Osmar D.,15/09/2026,pode ser reunião de 15min
412,27-04-2026,Gestão de pessoas,Follow-up com coordenador sobre briefing,A fazer,M,Gabi Ferreira,25/08/2026,duplicado com outra linha?
413,2026-05-25,RH/Gestão,Ver com diretoria status de processo,Done,crítica,Vanessa L.,13-08-2026,impacto direto no OEE do turno
414,10-05-2026,RH,Fechamento de planilha do mês anterior,WIP,alta,,16-08-2026,esperando ok da diretoria
415,25/04/2026,Processo,Atualizar checklist de inspeção,OK,urgente,Diego Lima,2026-08-13,movi pra próxima semana
416,24/06/26,meta,Follow-up com coordenador sobre manutenção,aberta,,,01/07,conversamos na daily de segunda
417,30-05-2026,Metas,Preparar apresentação sobre comunicado,Novo,Baixa,Karen L.,07/08/2026,aparentemente resolvido mas não tem evidência
418,08-06-2026,MTC,Preparar apresentação sobre follow-up,Em andamento,Alta,a definir,,pode ser reunião de 15min
419,21/06/26,manut.,Follow-up com RH sobre inspeção,Em andamento,Alta,Marcos T.,29/06/2026,
420,2026-06-20,qual.,Pendente aprovação da diretoria sobre produção,Aberto,,Ana Silva,2026-09-13,esperando resposta do RH
421,15/05/26,Procedimento,Revisar procedimento de plano de ação conforme reunião,aberta,M,Isabel R.,01/08/2026,
422,21/05/2026,OEE,Reunião com fornecedor de licença,Fechado,Baixa,Diego Lima,28/08/2026,não faz sentido no contexto atual
423,05/07/2026,Corretiva,Escalar problema de planilha pro gerente,aberta,A,João P.,03-07-2026,pode ser reunião de 15min
424,02/05/2026,Instrução Trabalho,Feedback pra equipe sobre checklist,Done,crítica,Felipe Costa,16/07,não faz sentido no contexto atual
425,21-05-2026,Saúde e Seguranca,Reposição de estoque de contrato,concluido,urgente,,,esperando resposta do RH
426,26/05/26,Target,Preparar apresentação sobre follow-up,WIP,ALTA,João P.,,não faz sentido no contexto atual
427,2026-07-09,PROD,Reposição de estoque de contrato,WIP,M,Diego Lima,,
428,19-06-2026,PM,Reagendar reunião de segurança,Feito,A,Tiago Alves,2026-07-07,vinculado à pendência anterior
429,05/07/26,Gestão de pessoas,Definir responsável pela checklist,concluido,M,a definir,07-08-2026,aparentemente resolvido mas não tem evidência
430,24/05/2026,RH/Gestão,Melhoria no fluxo de documento,Encerrado,Baixa,Osmar D.,09/07/2026,urgente segundo o gerente
431,2026-05-22,Preventiva,Fechamento de reunião do mês anterior,Novo,crítica,Isabel R.,01/09,esperando ok da diretoria
432,25/04/2026,Produtividade,Treinamento de meta pra equipe,progresso,alta,a definir,,não faz sentido no contexto atual
433,,,,,,,,
434,05-07-2026,seg.,Investigação de desvio em segurança,Encerrado,crítica,Nubia Costa,16/09/2026,impacto direto no OEE do turno
435,21/04/26,Produção,Padronizar registro de apresentação,Concluído,Baixa,Gabi Ferreira,2026-07-08,esperando resposta do RH
436,10-07-2026,Qualidade,Escalar problema de planilha pro gerente,WIP,ALTA,a definir,23/07/2026,conversamos na daily de segunda
437,2026-07-02,Saúde e Seguranca,Ver com RH status de follow-up,Fechado,crítica,?,2026-08-31,urgente segundo o gerente
438,2026-07-16,Equipe,Feedback pra equipe sobre planilha,OK,alta,Diego Lima,,urgente segundo o gerente
439,07/07/26,Produção,Padronizar registro de meta,progresso,,Marcos T.,08/07/2026,risco de multa se não fechar
440,2026-07-14,RH/Gestão,Renovar contrato de contrato,Aberto,alta,Osmar D.,25-07-2026,3 vezes que aparece esse mesmo problema
441,25/06/2026,Metas,Comunicar mudança de produção pro time,WIP,A,Osmar D.,16/08/2026,
442,06-07-2026,PROD,Melhoria no fluxo de plano de ação,aberta,B,a definir,30-07-2026,envolve 2 áreas — precisa alinhar
443,2026-07-04,CQ,Auditoria interna de relatório,progresso,B,Marcos T.,21/06/2026,TI ainda não liberou
444,14/05/26,Time,Pendente aprovação da diretoria sobre qualidade,Aberto,alta,Paula V.,23-06-2026,movi pra próxima semana
445,07/05/2026,Seguranca,Padronizar registro de auditoria,Em andamento,B,Marcos T.,21/07,auditoria externa pergunta sobre isso
446,13/07/2026,Qualidade,Follow-up com coordenador sobre treinamento,Feito,urgente,João P.,19/06,urgente segundo o gerente
447,2026-07-17,PROD,Feedback pra equipe sobre reunião,concluido,Baixa,Ricardo N.,15-08-2026,3 vezes que aparece esse mesmo problema
448,26/06/2026,meta,Precisa validação técnica de lista,A fazer,urgente,Ana Silva,05-08-2026,movi pra próxima semana
449,23-05-2026,Processo,Aguardando retorno de fornecedor sobre relatório,WIP,Baixa,João P.,10/08/2026,conversamos na daily de segunda
450,,,,,,,,
451,2026-07-11,Pessoas,Investigação de desvio em auditoria,A fazer,B,Karen L.,10/09,impacto direto no OEE do turno
452,22-05-2026,Qualidade,Renovar contrato de lista,WIP,B,Marcos T.,10/07/2026,movi pra próxima semana
453,05/07/26,,Fechamento de relatório do mês anterior,Encerrado,crítica,?,28-06-2026,esperando ok da diretoria
454,07-06-2026,Pessoas,Feedback pra equipe sobre comunicado,A fazer,ALTA,time,,esperando ok da diretoria
455,17-07-2026,PM,Atualizar checklist de reunião,Fechado,,?,25-08-2026,cliente reclamou disso semana passada
456,29/04/2026,Processo,Trocar contrato vencido na área,Encerrado,B,Diego Lima,28/08,esperando resposta do RH
457,2026-05-01,RH,Auditoria interna de auditoria,Feito,Baixa,Felipe Costa,12/09,revisar após mudança de escala
458,02/05/26,proc.,Follow-up com diretoria sobre relatório,Novo,B,Felipe Costa,,
459,31/05/2026,Indicador,,A fazer,Baixa,Gabi Ferreira,,impacto direto no OEE do turno
460,04-05-2026,qual.,Reunião com fornecedor de relatório,concluido,B,todos,04/07,
461,2026-05-03,MTC,Preparar apresentação sobre inspeção,TODO,A,Ricardo N.,2026-07-25,duplicado com outra linha?
462,12/06/2026,Qualidade,Trocar equipamento vencido na área,aberta,crítica,Eduarda Santos,02/09/2026,esperando ok da diretoria
463,15-06-2026,Corretiva,Ficou de trazer comunicado na próxima reunião,progresso,Média,Gabi Ferreira,2026-08-07,cliente reclamou disso semana passada
464,07-06-2026,Seg,Reposição de estoque de relatório,Concluído,Alta,Marcos T.,12/08,risco de multa se não fechar
465,19/06/26,SOP,Reposição de estoque de material,andamento,alta,Henrique M.,07/08,revisar após mudança de escala
466,07/06/2026,Produtividade,Análise da NC #485,Novo,,Ana Silva,08-07-2026,risco de multa se não fechar
467,03/05/26,,Ajuste no cronograma semanal,Feito,urgente,Osmar D.,,TI ainda não liberou
468,2026-06-24,OEE,Trocar EPI vencido na área,OK,urgente,todos,28/07/2026,movi pra próxima semana
469,2026-06-07,qual.,Follow-up com gerente sobre documento,WIP,urgente,Diego Lima,15/09,vinculado à pendência anterior
470,04/07/2026,proc.,Ver com RH status de briefing,Feito,,,02-07-2026,
471,29/06/26,SEG. TRABALHO,Revisar procedimento de manutenção conforme reunião,Em andamento,A,Leo Batista,,duplicado com outra linha?
472,09-05-2026,EPI,Follow-up com engenharia sobre segurança,A fazer,,Gabi Ferreira,04/07,
473,06/05/26,Preventiva,Revisar procedimento de processo conforme reunião,Em andamento,A,,2026-07-25,cliente reclamou disso semana passada
474,20/04/26,IT,Verificar histórico de treinamento,Concluído,M,time,01-08-2026,envolve 2 áreas — precisa alinhar
475,10/06/2026,Pessoas,Reunião com fornecedor de licença,A fazer,Alta,Isabel R.,02-07-2026,vinculado à pendência anterior
476,2026-05-07,OEE,Reagendar reunião de produção,Done,A,time,2026-09-14,urgente segundo o gerente
477,2026-06-06,Seguranca,Reunião com fornecedor de documento,aberta,alta,Henrique M.,10/09,movi pra próxima semana
478,17-05-2026,Objetivo,Auditoria interna de treinamento,Done,ALTA,Carla Souza,14-08-2026,pode ser reunião de 15min
479,2026-07-10,meta,Treinamento de reunião pra equipe,progresso,Baixa,Leo Batista,11-08-2026,duplicado com outra linha?
480,20/04/2026,PROD,Treinamento de manutenção pra equipe,Done,M,Tiago Alves,25/08,movi pra próxima semana
481,2026-06-22,Manutenção,Reposição de estoque de contrato,concluido,crítica,Ana Silva,19/08/2026,esperando ok da diretoria
482,04-07-2026,Instrução Trabalho,Padronizar registro de checklist,A fazer,alta,Bruno Alves,2026-08-09,3 vezes que aparece esse mesmo problema
483,2026-05-05,KPI,Ajuste no cronograma semanal,Feito,Média,Tiago Alves,,esperando ok da diretoria
